,album,track_number,explicit,release_date,song_name,artists,info,album_number,duration_minutes
0,The Battle Of Los Angeles,1,0,1999-11-02,Testify,Rage Against The Machine,Testify Rage Against The Machine The Battle Of Los Angeles,1,3.5
1,The Battle Of Los Angeles,2,1,1999-11-02,Guerrilla Radio,Rage Against The Machine,Guerrilla Radio Rage Against The Machine The Battle Of Los Angeles,1,3.44
2,The Battle Of Los Angeles,3,0,1999-11-02,Calm Like a Bomb,Rage Against The Machine,Calm Like a Bomb Rage Against The Machine The Battle Of Los Angeles,1,4.98
3,The Battle Of Los Angeles,4,1,1999-11-02,Mic Check,Rage Against The Machine,Mic Check Rage Against The Machine The Battle Of Los Angeles,1,3.56
4,The Battle Of Los Angeles,5,0,1999-11-02,Sleep Now In the Fire,Rage Against The Machine,Sleep Now In the Fire Rage Against The Machine The Battle Of Los Angeles,1,3.43
5,The Battle Of Los Angeles,6,0,1999-11-02,Born of a Broken Man,Rage Against The Machine,Born of a Broken Man Rage Against The Machine The Battle Of Los Angeles,1,4.68
6,The Battle Of Los Angeles,7,0,1999-11-02,Born As Ghosts,Rage Against The Machine,Born As Ghosts Rage Against The Machine The Battle Of Los Angeles,1,3.37
7,The Battle Of Los Angeles,8,0,1999-11-02,Maria,Rage Against The Machine,Maria Rage Against The Machine The Battle Of Los Angeles,1,3.8
8,The Battle Of Los Angeles,9,0,1999-11-02,Voice of the Voiceless,Rage Against The Machine,Voice of the Voiceless Rage Against The Machine The Battle Of Los Angeles,1,2.53
9,The Battle Of Los Angeles,10,0,1999-11-02,New Millennium Homes,Rage Against The Machine,New Millennium Homes Rage Against The Machine The Battle Of Los Angeles,1,3.75
10,The Battle Of Los Angeles,11,1,1999-11-02,Ashes In the Fall,Rage Against The Machine,Ashes In the Fall Rage Against The Machine The Battle Of Los Angeles,1,4.62
11,The Battle Of Los Angeles,12,0,1999-11-02,War Within a Breath,Rage Against The Machine,War Within a Breath Rage Against The Machine The Battle Of Los Angeles,1,3.61
12,Rage Against The Machine,1,1,1992-11-03,Bombtrack,Rage Against The Machine,Bombtrack Rage Against The Machine Rage Against The Machine,1,4.06
13,Rage Against The Machine,2,1,1992-11-03,Killing In the Name,Rage Against The Machine,Killing In the Name Rage Against The Machine Rage Against The Machine,1,5.23
14,Rage Against The Machine,3,1,1992-11-03,Take the Power Back,Rage Against The Machine,Take the Power Back Rage Against The Machine Rage Against The Machine,1,5.6
15,Rage Against The Machine,4,0,1992-11-03,Settle for Nothing,Rage Against The Machine,Settle for Nothing Rage Against The Machine Rage Against The Machine,1,4.79
16,Rage Against The Machine,5,1,1992-11-03,Bullet In the Head,Rage Against The Machine,Bullet In the Head Rage Against The Machine Rage Against The Machine,1,5.12
17,Rage Against The Machine,6,1,1992-11-03,Know Your Enemy,Rage Against The Machine,Know Your Enemy Rage Against The Machine Rage Against The Machine,1,4.91
18,Rage Against The Machine,7,0,1992-11-03,Wake Up,Rage Against The Machine,Wake Up Rage Against The Machine Rage Against The Machine,1,6.07
19,Rage Against The Machine,8,0,1992-11-03,Fistful of Steel,Rage Against The Machine,Fistful of Steel Rage Against The Machine Rage Against The Machine,1,5.52
20,Rage Against The Machine,9,1,1992-11-03,Township Rebellion,Rage Against The Machine,Township Rebellion Rage Against The Machine Rage Against The Machine,1,5.41
21,Rage Against The Machine,10,0,1992-11-03,Freedom,Rage Against The Machine,Freedom Rage Against The Machine Rage Against The Machine,1,6.1
22,Do It for Love,1,0,2018-04-10,Man on a Mission,Daryl Hall  John Oates,Man on a Mission Daryl Hall  John Oates Do It for Love,1,3.74
23,Do It for Love,2,0,2018-04-10,Do It for Love,Daryl Hall  John Oates,Do It for Love Daryl Hall  John Oates Do It for Love,1,3.97
24,Do It for Love,3,0,2018-04-10,Someday Well Know,Daryl Hall  John Oates,Someday Well Know Daryl Hall  John Oates Do It for Love,1,4.47
25,Do It for Love,4,0,2018-04-10,Forever for You,Daryl Hall  John Oates,Forever for You Daryl Hall  John Oates Do It for Love,1,4.63
26,Do It for Love,5,0,2018-04-10,Lifes Too Short,Daryl Hall  John Oates,Lifes Too Short Daryl Hall  John Oates Do It for Love,1,3.5
27,Do It for Love,6,0,2018-04-10,Getaway Car,Daryl Hall  John Oates,Getaway Car Daryl Hall  John Oates Do It for Love,1,3.82
